id;fecha;tipo_entrada;ambito;tema;afirmacion;veredicto;nota;confianza;medio_origen;medios_confirman;medios_desmienten;verificador_previo;senales;lote;notas
LC-2026-001;2026-07-19;texto;ES;cultura y diversidad audiovisual;Titular: el Gobierno pide más negros, homosexuales y gordos en películas y series;Engañoso;4;media;The Objective;eldiario.es, Europa Press, Servimedia, El Salto;;ninguno;2;real;Estudio real INJUVE+ODA con recomendaciones no vinculantes · titular exagera sujeto y verbo
LC-2026-002;2026-07-19;texto;ES;fiscalidad y recaudación;Titular: la voracidad de Hacienda dispara un 432% la recaudación en las empresas;Engañoso;3;alta;Vozpópuli;AEAT (cifras base);AEAT (aritmética +332% · serie anual +70%);ninguno;2;real;Error aritmético + ventana temporal a conveniencia + causas omitidas
LC-B01;2026-07-19;texto;ES;migración/regularización;Vídeo de fila de migrantes ante Extranjería por la regularización de 2026;Falso;1.5;alta;cuenta de TikTok (sin medio);;Maldita.es, Newtral;Maldita.es;3;calibracion;Vídeo generado con IA
LC-B02;2026-07-19;texto;ES;salud/vacunas;Pfizer presentó una vacuna de ARNm contra el hantavirus (crucero, mayo 2026);Falso;2;alta;imagen viral (suplanta a Expansión);CDC, OMS (brote real);Maldita.es, Newtral, Verificat;Maldita.es;3;calibracion;Vacuna inventada; brote del crucero real
LC-B03;2026-07-19;texto;ES;justicia;El juez Presencia denuncia a Peinado por blanqueo con cuentas en paraísos fiscales;Falso;2;alta;ACODAP/Expediente Royuela (sin medio);;Maldita.es, Verificat, elDiario.es;Maldita.es;3;calibracion;Montaje con extractos falsificados
LC-B04;2026-07-19;texto;ES;Mundial 2026;Multas de hasta 3.000 € por colgar la bandera de España en el balcón;Falso;2;alta;redes (sin medio);;Maldita.es, Newtral;Maldita.es;3;calibracion;Ningún régimen sancionador lo contempla
LC-B05;2026-07-19;texto;ES;política/gasto público;El Gobierno ha creado una marca de ropa (declaración de Abascal);Engañoso;3.5;alta;declaración política (Abascal);;Newtral, Maldita.es;Newtral;2;calibracion;Campaña institucional sin venta al público
LC-B06;2026-07-19;texto;ES;política/sanidad;Foto de Ayuso posando con los directivos de Quirón de la comida de León;Falso;2;alta;redes (sin medio);El País (trasfondo real);Maldita.es, Newtral;Newtral;4;calibracion;Foto manipulada sobre imagen de 2022
LC-B07;2026-07-19;texto;ES;entretenimiento/IA;Nieto de Hugo Chávez cantando en Got Talent España contra su abuelo;Falso;1;alta;canal de YouTube de IA;;Maldita.es;Maldita.es;4;calibracion;Vídeo IA; reciclaje del bulo "nieto de Maduro"
LC-B08;2026-07-19;texto;ES;fiscalidad/Bizum;Desde enero 2026 se elimina el límite de 3.000 € de Bizum y todo se reporta a Hacienda;Engañoso;3.5;alta;cadena viral (sin medio);;Maldita.es, Newtral;Maldita.es;3;calibracion;Cambio real solo para cobros de profesionales
LC-B09;2026-07-19;texto;ES;tráfico/DGT;La DGT aprueba sanción de 200 € por circular solo en el coche;Engañoso;3;alta;cadena viral (sin medio);;Maldita.es, Newtral;Maldita.es;3;calibracion;Norma antigua de carriles VAO recirculando
LC-B10;2026-07-19;texto;ES;política social;El PP ha votado contra el SMI y las pensiones (declaración de Sánchez);Engañoso;4;alta;declaración política (Sánchez);;Newtral, Maldita.es;Newtral;2;calibracion;El SMI no se vota; pensiones: voto mixto
LC-B11;2026-07-19;texto;ES;incendios/renovables;Los incendios se provocan para recalificar terrenos e instalar renovables;Falso;1.5;alta;cadena viral (sin medio);;Maldita.es, Newtral;Maldita.es;3;calibracion;Ley de Montes veta el cambio de uso 30 años
LC-B12;2026-07-19;texto;ES;sucesos/RTVE;Presentadora de RTVE sonríe al informar de los fallecidos de Adamuz;Falso;2;alta;redes (sin medio);;Newtral, Info Veritas;Newtral;3;calibracion;Sonrisa descontextualizada (hablaba de la solidaridad)
LC-B13;2026-07-19;texto;BG;justicia/eurozona;El Tribunal de la UE admite a trámite la demanda contra el euro búlgaro;Falso;2;alta;Facebook (R. Gechev);Club Z, BNT, Novinite (desmentido oficial);Factcheck.bg;Factcheck.bg;4;calibracion;Registro procesal ≠ admisión a trámite
LC-B14;2026-07-19;texto;BG;economía/euro;La eurozona está en quiebra técnica y Bulgaria pagará las deudas de Francia;Falso;2;alta;declaración política (Kostadinov, en BNT);;Factcheck.bg, Euronews;Factcheck.bg;3;calibracion;Art. 125 TFUE: nadie asume deudas ajenas
LC-B15;2026-07-19;texto;BG;política exterior;La ministra de Exteriores búlgara firmó la Declaración de Kiev;Mayormente cierto;7.5;media;sin medio;The Sofia Globe, BNR, BTA, Novinite;;no localizado (existía: Factcheck.bg);2;calibracion;ÚNICO FALLO de la calibración: el dictamen (engañoso) estaba indexado solo en búlgaro → skill v1.1
LC-B16;2026-07-19;texto;BG;economía/PDE;La Comisión Europea lanza su venganza financiera contra Bulgaria;Engañoso;3;alta;narrativa Sputnik/RT (sin medio);Consejo UE, Comisión (PDE real);EUvsDisinfo;EUvsDisinfo;4;calibracion;PDE reglado aplicado a 11 países; no toca fondos
LC-B17;2026-07-19;texto;EU;clima;Semáforos derritiéndose en Italia y Alemania por la ola de calor;Falso;2;alta;viral (sin medio);;Newtral, Maldita.es;Newtral;4;calibracion;Daños por incendios concretos; un vídeo de 2025
LC-B18;2026-07-19;texto;EU;defensa/R.Unido;El Gobierno británico gastará 270.000 M£ adicionales en defensa;Engañoso;3;alta;portavoces gubernamentales británicos;;Full Fact;Full Fact;2;calibracion;Es el presupuesto total, no el incremento
LC-B19;2026-07-19;texto;ES;migración/sucesos;Vídeo de dos magrebíes dando una paliza a un anciano en Sevilla;Falso;2;alta;cuenta de X (sin medio);;Maldita.es;Maldita.es;4;calibracion;Ocurrió en Bruselas; atribución étnica sin base
LC-B20;2026-07-19;texto;ES;desinformación política;La UCO registra una mansión de Sánchez en Dubái con lingotes de oro;Falso;1;alta;red de canales de YouTube;;Maldita.es, Newtral;Maldita.es;5;calibracion;Red de 49 canales; bulo mutante (Dubái/Canarias/Marruecos)
LC-B21;2026-07-19;texto;BG;economía/euro;Bulgaria adoptó el euro el 1-1-2026 como 21º país (1,95583 levas/€);Verdadero;10;alta;sin medio;Consejo UE, BCE, Reuters;;ninguno;1;calibracion;Control verdadero superado
LC-B22;2026-07-19;texto;EU;elecciones Portugal;Seguro ganó la 2ª vuelta presidencial portuguesa con ~66% (8-2-2026);Verdadero;9.5;alta;sin medio;RTP (escrutinio oficial), Euronews, France 24;;ninguno;1;calibracion;Control verdadero superado
LC-B23;2026-07-19;texto;EU;deporte/JJOO;JJOO Milán-Cortina 2026: apertura 6-2 en San Siro y clausura 22-2 en Verona;Verdadero;10;alta;sin medio;COI/Olympics.com, PBS;;ninguno;1;calibracion;Control verdadero superado
LC-B24;2026-07-19;texto;BG;Eurovisión;Bulgaria ganó Eurovisión 2026 en Viena con "Bangaranga" de Dara;Verdadero;10;alta;sin medio;eurovision.com, NBC, Billboard;;ninguno;1;calibracion;Control verdadero superado
LC-B25;2026-07-19;texto;ES;elecciones CyL;El PP ganó CyL 2026 con 33 escaños de 81 (PSOE 30, Vox 14);Mayormente cierto;8.5;alta;sin medio;Euronews, COPE, Leonoticias, El Español;;ninguno;1;calibracion;Detectó error del banco: la cámara tiene 82 escaños
LC-B26;2026-07-19;texto;ES;Eurovisión;España no participó en Eurovisión 2026, primera ausencia desde 1961;Verdadero;9.5;alta;sin medio;Wikipedia/ESC, Eurovisionworld, Jerusalem Post;;ninguno;1;calibracion;Control "suena a bulo pero es cierto" superado
LC-B27;2026-07-19;texto;mundo;ciencia;Los wombats son el único animal que produce heces cúbicas;Verdadero;9.5;alta;sin medio;Maldita.es (Maldita Ciencia), Science, Georgia Tech;;Maldita.es (confirmación);1;calibracion;Control "suena a bulo" superado
LC-B28;2026-07-19;texto;mundo;cultura;El animal nacional de Escocia es el unicornio (heráldica desde el s. XII);Mayormente cierto;8;alta;sin medio;Scotland.org, National Trust for Scotland;;Snopes (inaccesible);1;calibracion;Matizó la datación (s. XV-XVI documentado)
LC-B29;2026-07-19;texto;EU;legislación Francia;Francia permite el matrimonio póstumo (art. 171, autorización presidencial);Verdadero;9.5;alta;sin medio;Assemblée nationale, fuentes jurídicas;;ninguno;1;calibracion;Control "suena a bulo" superado
LC-B30;2026-07-19;texto;EU;ciencia;La Torre Eiffel es más alta en verano por la dilatación del hierro;Verdadero;9.5;alta;sin medio;Web oficial Tour Eiffel, The Conversation;;Newtral (confirmación);1;calibracion;Control "suena a bulo" superado
