id;ambito;tipo_esperado;afirmacion;dictamen_de;url_dictamen;fecha_dictamen;nota_contexto
LC-B01;ES;Falso;Un vídeo muestra una larga fila de marroquíes y pakistaníes ante una oficina de Extranjería en España esperando turno para entregar la documentación de la regularización extraordinaria de 2026;Maldita.es;https://maldita.es/malditobulo/20260205/video-muestra-fila-de-marroquies-y-pakistanies-afuera-de-la-oficina-de-extranjeria-esperando-turno-para-entregar-documentacion-para-la-regularizacion/;2026-02;Vídeo generado con IA (etiqueta de IA, caras difuminadas, rótulos distorsionados)
LC-B02;ES;Falso;Pfizer presentó una vacuna de ARNm contra el hantavirus coincidiendo con la aparición de casos de la enfermedad en un crucero en mayo de 2026;Maldita.es;https://maldita.es/desinfo/20260506/pfizer-presento-una-vacuna-para-el-hantavirus-coincidiendo-con-la-aparicion-de-la-enfermedad-en-un-crucero/;2026-05;No existe vacuna autorizada contra el hantavirus; la captura usa un titular real sobre una vacuna de gripe
LC-B03;ES;Falso;El juez Presencia ha denunciado al magistrado Juan Carlos Peinado por un delito de blanqueo de capitales al tener cuentas en paraísos fiscales;Maldita.es;https://maldita.es/desinfo/20260717/el-juez-presencia-denuncia-ante-la-aai-al-magistrado-juan-carlos-peinado-por-un-delito-de-blanqueo-de-capitales-al-tener-cuentas-en-paraisos-fiscales/;2026-07;Montaje del 'Expediente Royuela' con extractos bancarios falsificados
LC-B04;ES;Falso;Colocar la bandera de España en el balcón durante el Mundial de 2026 puede acarrear multas de hasta 3.000 euros;Newtral;https://www.newtral.es/bulo-multas-bandera-espana-mundial/20260714/;2026-07;No existe ninguna norma que sancione con hasta 3.000 euros por la bandera en el balcón
LC-B05;ES;Falso;El Gobierno de España ha creado una marca de ropa, según afirmó Santiago Abascal en julio de 2026;Newtral;https://www.newtral.es/abascal-marca-ropa-factcheck/20260709/;2026-07;El Gobierno no ha creado ninguna marca de ropa
LC-B06;ES;Falso;Una fotografía muestra a Isabel Díaz Ayuso posando junto a los directivos de Quirón con los que comió en León;Newtral;https://www.newtral.es/foto-ayuso-directivos-quiron-leon-bulo/20260621/;2026-06;Foto manipulada: las personas no son directivos de Quirón y las caras fueron alteradas
LC-B07;ES;Falso;Un vídeo muestra a un nieto de Hugo Chávez cantando en Got Talent España sobre las injusticias causadas en Venezuela por su abuelo;Maldita.es;https://maldita.es/malditobulo/20260213/nieto-hugo-chavez-got-talent-espana/;2026-02;Vídeo creado con IA sobre imágenes del programa; el mismo montaje circuló en 2025 como nieto de Maduro
LC-B08;ES;Engañoso;A partir de enero de 2026 se elimina el límite de 3.000 euros de Bizum y todas las transacciones se reportarán automáticamente a Hacienda;Maldita.es;https://maldita.es/malditobulo/20251215/a-partir-de-enero-de-2026-se-elimina-el-limite-de-3000-euros-de-bizum-y-todas-las-transacciones-se-reportaran-automaticamente-a-hacienda/;2025-12;El reporte automático solo afecta a cobros de empresarios/profesionales, no a bizums entre particulares
LC-B09;ES;Engañoso;La DGT ha aprobado una nueva sanción de 200 euros para los conductores que circulen solos en su coche;Maldita.es;https://maldita.es/desinfo/20260709/multas-por-fotocopiar-de-manera-innecesaria-un-dni-o-sanciones-por-circular-una-persona-sola-en-un-coche-medidas-que-se-viralizan-como-actuales-cuando-no-lo-son/;2026-07;Medida antigua viralizada como nueva: solo aplica a carriles VAO
LC-B10;ES;Engañoso;El PP ha votado en contra de las medidas sociales del Gobierno, como la subida del SMI y la revalorización de las pensiones, según afirmó Pedro Sánchez;Newtral;https://www.newtral.es/pedro-sanchez-pp-voto-contra-medidas-sociales-smi-pensiones-factcheck/20260618/;2026-06;Mezcla votos en contra reales con abstenciones, apoyos y medidas no votadas
